session_key,age,sex,education,major,native_language,other_language,dyslexia,hearing_diff,whisper,comments,addedQ,experiment_name
a30aa,,,University degree: MA or equivalent,english lit,finnish,english,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['5']}, {'Reading': ['6']}]",LDAEXP315
11569,,,University degree: BA or equivalent,Architecture/English studies/Intercultural Encounters,French,"English (fluent), Italian (rusty), Spanish (even rustier), Finnish (A2)",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
56921,,,University degree: MA or equivalent,Anthropology,English,"Spanish, Finnish",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
4c648,,,University degree: BA or equivalent,Fine Art: art practice and theory,Finnish,English,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
7a9ba,,,University degree: BA or equivalent,Russian Studies,English,"Russian, Finnish",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
32e63,,,"Upper secondary school, upper secondary school graduate, or vocational education graduate",Lithuanian language and culture,Finnish,"English, German, Russian, Polish, Lithuanian, Latvian, Ukrainian, Swedish, Hungarian, Estonian",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': [""Overall I'd say it'd be between a 5 and 6. Mostly 6 since I do have vast amount of experience in terms of American English, British English I am not very familiar with because the vocabulary and phrases and expressions are completely different than in American English.""]}, {'Speaking': ['5 or 6, I can speak fluently and without issues, all though sometimes I make minor mistakes in terms of pronunciation. It is mostly due to the fact I am more familiar with American English than British English.']}, {'Listening': ['5 or 6, I do have good listening comprehension skills, there are times if a person has a thick accent (British, Australian)']}, {'Writing': ['5 or 6 I do have really good writing skills, there are some difficult words for non-natives like me such as indigenous or narcissistic']}, {'Reading': ['5 or 6, I can read most texts pretty well without issues, some of the older text in English language can be quiet difficult to read']}]",LDAEXP315
6be8e,,,University degree: Ph.D. or equivalent,Political science,Finnish,"EN, SE, GE, FR, RU",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
ae6a0,,,University degree: MA or equivalent,Criminology,"Finnish, Swedish",English,No,No,,I have tinnitus,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
09074,,,University degree: MA or equivalent,anthropology,finnish,"english, korean, swedish, french, latin",No,No,,-,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5-6']}, {'Speaking': ['5']}, {'Listening': ['6']}, {'Writing': ['5']}, {'Reading': ['6']}]",LDAEXP315
c7598,,,University degree: BA or equivalent,"African Studies, Linguistics",Finnish,"English, Swedish, lots of basic skills in other languages",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['4']}, {'Speaking': ['4']}, {'Listening': ['4']}, {'Writing': ['4']}, {'Reading': ['5']}]",LDAEXP315
ae29c,,,University degree: MA or equivalent,International Trade,Finnish,"French, English, Swedish, German, Spanish",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['4']}, {'Speaking': ['4']}, {'Listening': ['3']}, {'Writing': ['3']}, {'Reading': ['4']}]",LDAEXP315
dc597,,,University degree: MA or equivalent,Communication and media studies,Finnish,,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['5']}, {'Listening': ['6']}, {'Writing': ['5']}, {'Reading': ['6']}]",LDAEXP315
0183d,,,University degree: MA or equivalent,Sustainability Science,German,"English, Spanish",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
c00a2,,,University degree: MA or equivalent,Linguistics,Finnish,"English, swedish",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['4']}, {'Speaking': ['4']}, {'Listening': ['4']}, {'Writing': ['5']}, {'Reading': ['5']}]",LDAEXP315
9ea95,,,University degree: Ph.D. or equivalent,physics education,Finnish,"English, Swedish, Russian",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['5']}, {'Reading': ['6']}]",LDAEXP315
7159b,,,University degree: MA or equivalent,Finnish language,Finnish,"English, French, Swedish, Estonian, Spanish",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['5']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
be710,,,University degree: MA or equivalent,Art and design and Hypermedia ,Serbian,"Croatian, English, basic  Finnish and Swedish ",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['Advanced']}, {'Speaking': ['Advanced']}, {'Listening': ['Proficient ']}, {'Writing': ['Advanced ']}, {'Reading': ['Advanced']}]",LDAEXP315
e3e18,,,University degree: BA or equivalent,Philosophy,"Swedish, finnish",english,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['5']}, {'Listening': ['5']}, {'Writing': ['5']}, {'Reading': ['5']}]",LDAEXP315
3c75b,,,University degree: MA or equivalent,"Humanities, Comparative Literature",Suomi,English,No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['5']}, {'Listening': ['5']}, {'Writing': ['5']}, {'Reading': ['5']}]",LDAEXP315
45ce1,,,University degree: MA or equivalent,Political Science,Swedish,"English, Polish, Finnish",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['5']}, {'Speaking': ['4']}, {'Listening': ['5']}, {'Writing': ['5']}, {'Reading': ['6']}]",LDAEXP315
63965,,,"Upper secondary school, upper secondary school graduate, or vocational education graduate",History,Finnish,"Swedish, English, German",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['English has become a part of my everyday life']}, {'Speaking': ['4']}, {'Listening': ['4']}, {'Writing': ['4']}, {'Reading': ['4']}]",LDAEXP315
1c64e,,,University degree: MA or equivalent,Political science,"Finnish, Bulgarian","English, German, Russian, Swedish",No,No,,,"[{'Evaluate your proficiency in English in different areas using six proficiency levels: 1=beginner, 2=elementary, 3=intermediate, 4=upper-intermediate, 5=advanced, 6=proficiency. Open the following web address in a new tab/window to see brief descriptions for each proficiency level: https://tracktest.eu/english-levels-cefr/ Write your answers using the levels (names or numbers) mentioned above. Start with overall evaluation here:': ['6']}, {'Speaking': ['6']}, {'Listening': ['6']}, {'Writing': ['6']}, {'Reading': ['6']}]",LDAEXP315
